no,x,y,z,flight
1,101.9853371,2.586288036,28.8937,1.0
2,101.9852729,2.586343578,28.93228,1.0
3,101.9852053,2.586390853,28.72671,1.0
4,101.9851395,2.586431928,28.57485,1.0
5,101.9850728,2.586477911,28.35806,1.0
6,101.9850062,2.586516919,28.14346,1.0
7,101.9849387,2.586561869,28.18643,1.0
8,101.9848718,2.586604696,27.68936,1.0
9,101.984811,2.586643761,27.73696,1.0
10,101.9847386,2.586691294,27.51187,1.0
11,101.9846967,2.586718936,27.2875,1.0
12,101.9846078,2.586775253,27.13955,1.0
13,101.9845382,2.586817878,27.02773,1.0
14,101.9844727,2.586863603,26.94155,1.0
15,101.9844021,2.586905969,26.82778,1.0
16,101.9844781,2.586941361,26.87783,1.0
17,101.9845439,2.586896928,26.85098,1.0
18,101.9846096,2.586855594,26.84365,1.0
19,101.9846725,2.586806511,27.07192,1.0
20,101.9847136,2.586779644,27.42983,1.0
21,101.984747,2.586848878,27.68984,1.0
22,101.9846736,2.586896669,27.32583,1.0
23,101.984614,2.586935678,27.05142,1.0
24,101.9845464,2.586978561,27.0729,1.0
25,101.9846124,2.587023769,27.34658,1.0
26,101.9846818,2.587070011,28.41689,1.0
27,101.9847383,2.587096361,28.41909,1.0
28,101.9848316,2.58709972,30.2499,1.0
29,101.9848837,2.587076986,30.87612,1.0
30,101.9848262,2.587040561,29.7228,1.0
31,101.9847563,2.587009044,28.60855,1.0
32,101.9846828,2.586972103,27.59927,1.0
33,101.9847527,2.586922761,27.99502,1.0
34,101.9848218,2.586960219,29.49697,1.0
35,101.9848798,2.587006978,30.44399,1.0
36,101.9848149,2.586870836,28.24917,1.0
37,101.9848295,2.586794111,28.38735,1.0
38,101.9848806,2.586763111,28.69546,1.0
39,101.9848092,2.586728753,27.99502,1.0
40,101.9848844,2.586678199,28.19546,1.0
41,101.9849382,2.586639628,28.42642,1.0
42,101.9850075,2.586599844,28.56875,1.0
43,101.9850745,2.586556186,28.71011,1.0
44,101.9851416,2.586515886,29.00845,1.0
45,101.9851999,2.586465511,29.05947,1.0
46,101.9852436,2.586408161,29.0187,1.0
47,101.985352,2.586387494,29.49893,1.0
48,101.9854149,2.586419269,30.31021,1.0
49,101.9853471,2.586461378,30.20938,1.0
50,101.9852816,2.586506069,29.85024,1.0
51,101.9852307,2.586560061,30.07827,1.0
52,101.9851688,2.586604753,29.78262,1.0
53,101.9850915,2.586644536,29.7958,1.0
54,101.9850224,2.586685094,29.57412,1.0
55,101.984951,2.586800569,30.09121,1.0
56,101.9849022,2.586920178,30.17178,1.0
57,101.9849613,2.586948853,31.49429,1.0
58,101.9849672,2.587021444,31.56069,1.0
59,101.9850301,2.586981403,31.43618,1.0
60,101.9850232,2.586915528,31.59512,1.0
61,101.9849531,2.586881428,31.23965,1.0
62,101.9850191,2.586835961,31.22378,1.0
63,101.9850874,2.586870578,31.31606,1.0
64,101.985082,2.586798761,31.41104,1.0
65,101.9851521,2.586750711,31.42568,1.0
66,101.9850193,2.586757169,30.78311,1.0
67,101.9850833,2.586713769,30.89102,1.0
68,101.9851506,2.586671144,31.05288,1.0
69,101.9852194,2.586630069,31.07095,1.0
70,101.9852844,2.586584344,31.06484,1.0
71,101.9853517,2.586541719,31.22451,1.0
72,101.9854141,2.586501161,31.54629,1.0
73,101.9854822,2.586456728,31.45547,1.0
74,101.9854812,2.586378453,30.6083,1.0
75,101.9854018,2.586331436,29.63296,1.0
76,101.9854457,2.586278478,29.5082,1.0
77,101.9854786,2.586294236,29.93789,1.0
78,101.9855338,2.586260394,29.93252,1.0
79,101.9854894,2.586229136,29.32266,1.0
80,101.9855374,2.586176178,29.4877,1.0
1,101.9852708,2.586265561,28.52725,2.0
2,101.9852043,2.586308444,28.10439,2.0
3,101.9851395,2.586354428,28.01626,2.0
4,101.9850684,2.586399378,27.84585,2.0
5,101.9850072,2.586440969,27.79263,2.0
6,101.9849369,2.586482044,27.94058,2.0
7,101.9848678,2.586526994,27.6332,2.0
